epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.785,1.47811,1.96332,1.6384,0.67234,0.60858,0.6233,0.31576,1.84785,5.61057,2.09245,0.000469624,0.000469624,0.000469624
2,744.921,1.39967,1.21819,1.57416,0.38112,0.47128,0.34599,0.16418,2.1357,6.72472,2.82089,0.000936593,0.000936593,0.000936593
3,787.559,1.44723,1.23974,1.61198,0.50715,0.59574,0.55066,0.26055,1.9138,5.09297,2.14478,0.00139413,0.00139413,0.00139413
4,830.758,1.38097,1.14684,1.58383,0.25832,0.3904,0.19808,0.06376,2.31406,11.8703,2.80438,0.00138656,0.00138656,0.00138656
5,874.496,1.37283,1.09094,1.58082,0.88504,0.88446,0.92347,0.49784,1.65304,0.96825,1.98889,0.00137241,0.00137241,0.00137241
6,922.533,1.31932,1.00483,1.52026,0.84769,0.65198,0.74947,0.28809,2.21122,2.05638,2.40734,0.00135826,0.00135826,0.00135826
7,966.173,1.29399,0.92602,1.49463,0.80833,0.83762,0.88684,0.36448,2.14848,1.47148,2.45134,0.00134412,0.00134412,0.00134412
8,1009.52,1.23226,0.89644,1.47366,0.84881,0.7633,0.80497,0.37285,1.91132,1.50599,2.17595,0.00132997,0.00132997,0.00132997
9,1052.92,1.27279,0.90373,1.49279,0.92448,0.94097,0.95669,0.5374,1.52665,0.84517,1.79141,0.00131582,0.00131582,0.00131582
10,1100.4,1.19577,0.79706,1.42105,0.87152,0.7214,0.82833,0.49887,1.49812,2.63338,1.79555,0.00130168,0.00130168,0.00130168
11,1143.03,1.20865,0.79507,1.43233,0.91938,0.88432,0.96113,0.60379,1.40643,1.06178,1.76445,0.00128753,0.00128753,0.00128753
12,1195.65,1.16073,0.80321,1.40726,0.97582,0.9494,0.96783,0.62312,1.21575,0.74632,1.54029,0.00127338,0.00127338,0.00127338
13,1242.14,1.15006,0.77232,1.40116,0.92058,0.85703,0.91374,0.53201,1.62504,0.85426,1.93182,0.00125923,0.00125923,0.00125923
14,1284.56,1.12393,0.75502,1.3759,0.9898,0.95168,0.97823,0.61396,1.3247,0.66509,1.59062,0.00124509,0.00124509,0.00124509
15,1327.03,1.14324,0.74834,1.38622,0.98102,0.94035,0.97567,0.56083,1.49403,0.70636,1.78848,0.00123094,0.00123094,0.00123094
16,1370.79,1.12376,0.75315,1.38876,0.9518,0.87259,0.94287,0.64464,1.21237,0.73492,1.60867,0.00121679,0.00121679,0.00121679
17,1418.11,1.10888,0.68004,1.36033,0.96878,0.94921,0.97897,0.66599,1.20896,0.57998,1.52613,0.00120265,0.00120265,0.00120265
18,1466.51,1.09744,0.71344,1.3526,0.89202,0.75834,0.8353,0.59114,1.20257,1.00462,1.5682,0.0011885,0.0011885,0.0011885
19,1508.81,1.0903,0.69999,1.35198,0.97923,0.95898,0.98138,0.68681,1.17946,0.57437,1.55134,0.00117435,0.00117435,0.00117435
20,1555.35,1.04661,0.66989,1.32994,0.9771,0.9516,0.97592,0.60403,1.34601,0.61386,1.62649,0.00116021,0.00116021,0.00116021
21,1598.07,1.0495,0.66532,1.34073,0.97562,0.95258,0.9712,0.71701,1.01716,0.6538,1.46166,0.00114606,0.00114606,0.00114606
22,1650.87,1.05926,0.66104,1.33621,0.97816,0.95296,0.98232,0.64152,1.31576,0.62251,1.62169,0.00113191,0.00113191,0.00113191
23,1693.23,1.04506,0.65938,1.3431,0.94542,0.8829,0.95581,0.70952,1.07316,1.13074,1.46332,0.00111776,0.00111776,0.00111776
24,1735.21,1.06716,0.66252,1.33067,0.94425,0.93682,0.96411,0.5925,1.55163,0.75467,2.03057,0.00110362,0.00110362,0.00110362
25,1777.61,1.03072,0.66328,1.3067,0.977,0.98081,0.98479,0.73245,0.97882,0.46811,1.3668,0.00108947,0.00108947,0.00108947
26,1823.96,0.9959,0.6206,1.28657,0.95935,0.97743,0.98262,0.73044,1.02257,0.53027,1.40747,0.00107532,0.00107532,0.00107532
27,1865.84,0.98426,0.58604,1.28226,0.97617,0.97743,0.98334,0.71842,1.03476,0.4574,1.45117,0.00106118,0.00106118,0.00106118
28,1908.59,0.976,0.59118,1.27853,0.95937,0.96696,0.98371,0.74632,0.93819,0.56663,1.34363,0.00104703,0.00104703,0.00104703
29,1958.01,0.95269,0.59424,1.25388,0.97327,0.91652,0.97932,0.74946,0.88067,0.45342,1.29738,0.00103288,0.00103288,0.00103288
30,2006.07,0.9775,0.59579,1.28082,0.97416,0.9665,0.97681,0.70866,1.06688,0.48526,1.44159,0.00101873,0.00101873,0.00101873
31,2048.43,0.9563,0.56175,1.26335,0.98025,0.96111,0.97747,0.70442,1.12924,0.50409,1.52375,0.00100459,0.00100459,0.00100459
32,2095.97,0.96811,0.57684,1.2673,0.96854,0.97786,0.98461,0.77793,0.87845,0.44134,1.33378,0.00099044,0.00099044,0.00099044
33,2141.88,0.94918,0.57103,1.26823,0.94242,0.9665,0.97914,0.75256,0.87829,0.47856,1.31125,0.000976293,0.000976293,0.000976293
34,2184.2,0.95448,0.5699,1.27316,0.96434,0.96968,0.97967,0.70045,1.03091,0.45707,1.385,0.000962146,0.000962146,0.000962146
35,2226.19,0.95751,0.54931,1.26441,0.97369,0.96492,0.97642,0.77713,0.79836,0.40936,1.22065,0.000947999,0.000947999,0.000947999
36,2268.59,0.93628,0.54354,1.25784,0.98358,0.97178,0.98503,0.74362,0.93337,0.43603,1.30724,0.000933851,0.000933851,0.000933851
37,2311.49,0.90031,0.53406,1.22348,0.9601,0.97232,0.98027,0.75332,0.86934,0.47643,1.27794,0.000919704,0.000919704,0.000919704
38,2354.5,0.90702,0.54384,1.23593,0.98317,0.96104,0.96945,0.71196,1.03809,0.48394,1.42872,0.000905557,0.000905557,0.000905557
39,2397.7,0.90133,0.52789,1.22736,0.97538,0.98721,0.98315,0.79578,0.74999,0.39997,1.18812,0.00089141,0.00089141,0.00089141
40,2445.78,0.92282,0.54377,1.23295,0.96803,0.97312,0.9788,0.67493,1.11735,0.48559,1.45193,0.000877263,0.000877263,0.000877263
41,2488.97,0.8979,0.52879,1.21374,0.9817,0.9811,0.98947,0.75391,0.92793,0.40408,1.34714,0.000863116,0.000863116,0.000863116
42,2534.13,0.90213,0.5299,1.23297,0.96589,0.96384,0.98087,0.76372,0.85096,0.56402,1.29668,0.000848969,0.000848969,0.000848969
43,2577.56,0.89236,0.50966,1.20684,0.97416,0.96821,0.98346,0.60979,1.41076,0.5016,1.84363,0.000834822,0.000834822,0.000834822
44,2621.04,0.88915,0.50526,1.22133,0.98597,0.97757,0.98515,0.7312,0.95448,0.41992,1.32788,0.000820675,0.000820675,0.000820675
45,2664.14,0.86168,0.50019,1.19372,0.98375,0.97869,0.98691,0.78894,0.77164,0.3922,1.19072,0.000806528,0.000806528,0.000806528
46,2706.97,0.85524,0.50076,1.20332,0.98289,0.97661,0.98212,0.71445,1.02566,0.42021,1.38151,0.00079238,0.00079238,0.00079238
47,2749.2,0.88114,0.50979,1.20882,0.97539,0.97113,0.97866,0.71581,1.0196,0.44046,1.37708,0.000778233,0.000778233,0.000778233
48,2791.99,0.84418,0.48693,1.19307,0.97905,0.97894,0.98074,0.77889,0.80405,0.41509,1.22143,0.000764086,0.000764086,0.000764086
49,2835.15,0.84538,0.4975,1.19926,0.97997,0.98181,0.98764,0.74778,0.88107,0.39341,1.26466,0.000749939,0.000749939,0.000749939
50,2878.84,0.85118,0.49028,1.18933,0.97663,0.98028,0.98487,0.74872,0.97342,0.42056,1.41554,0.000735792,0.000735792,0.000735792
51,2922.78,0.8339,0.47957,1.17966,0.98695,0.97808,0.98364,0.78483,0.82709,0.38102,1.25422,0.000721645,0.000721645,0.000721645
52,2969.13,0.84203,0.49714,1.19234,0.98256,0.97743,0.98446,0.74983,0.92527,0.36903,1.28224,0.000707498,0.000707498,0.000707498
53,3008.64,0.82973,0.47146,1.17512,0.98754,0.99276,0.98871,0.7982,0.73013,0.3528,1.16293,0.000693351,0.000693351,0.000693351
54,3050.28,0.84558,0.48338,1.18715,0.98605,0.97815,0.98829,0.78956,0.78944,0.36468,1.21415,0.000679204,0.000679204,0.000679204
55,3090.75,0.83711,0.48662,1.18216,0.98815,0.9829,0.98837,0.76528,0.85424,0.36401,1.26615,0.000665057,0.000665057,0.000665057
56,3133.72,0.83104,0.4738,1.16989,0.98267,0.9829,0.987,0.77233,0.84313,0.37071,1.26911,0.000650909,0.000650909,0.000650909
57,3174.71,0.8136,0.45188,1.15106,0.98002,0.97849,0.9832,0.81977,0.67158,0.31937,1.12205,0.000636762,0.000636762,0.000636762
58,3215.9,0.82499,0.46499,1.17252,0.99083,0.97622,0.98662,0.80633,0.74279,0.34279,1.16893,0.000622615,0.000622615,0.000622615
59,3256.72,0.81595,0.44777,1.16912,0.97957,0.97567,0.9828,0.76336,0.82706,0.36317,1.20809,0.000608468,0.000608468,0.000608468
60,3297.92,0.8047,0.44961,1.14999,0.97822,0.98118,0.99131,0.80627,0.76199,0.35624,1.20311,0.000594321,0.000594321,0.000594321
61,3339.45,0.80745,0.45776,1.1671,0.98482,0.97281,0.98589,0.80282,0.74818,0.36116,1.18656,0.000580174,0.000580174,0.000580174
62,3389.37,0.80318,0.46581,1.16402,0.9858,0.9664,0.98887,0.80058,0.77371,0.36686,1.19905,0.000566027,0.000566027,0.000566027
63,3432.84,0.78409,0.44518,1.14801,0.98656,0.97034,0.98635,0.80119,0.77829,0.36847,1.19965,0.00055188,0.00055188,0.00055188
64,3476.82,0.79904,0.45035,1.15851,0.97866,0.97824,0.98862,0.80458,0.74954,0.3525,1.14865,0.000537733,0.000537733,0.000537733
65,3520.93,0.82397,0.4538,1.15724,0.9737,0.98737,0.98761,0.74326,0.9922,0.38651,1.39453,0.000523586,0.000523586,0.000523586
66,3565.16,0.81877,0.44846,1.17523,0.97651,0.98765,0.9866,0.80768,0.72056,0.33668,1.15206,0.000509438,0.000509438,0.000509438
67,3608.84,0.79384,0.43748,1.15264,0.96823,0.98117,0.98511,0.81595,0.7707,0.39562,1.22997,0.000495291,0.000495291,0.000495291
68,3651.98,0.76341,0.43351,1.13396,0.98576,0.97126,0.98305,0.77905,0.87683,0.38753,1.31279,0.000481144,0.000481144,0.000481144
69,3694.57,0.77553,0.43958,1.14685,0.98337,0.97743,0.98535,0.75505,0.89912,0.37618,1.29526,0.000466997,0.000466997,0.000466997
70,3736.91,0.76381,0.41956,1.12498,0.97117,0.98765,0.98238,0.80644,0.73775,0.35188,1.17148,0.00045285,0.00045285,0.00045285
71,3779.98,0.76274,0.43033,1.13186,0.97749,0.97436,0.98636,0.79395,0.81285,0.37204,1.2344,0.000438703,0.000438703,0.000438703
72,3826.89,0.75973,0.4278,1.13746,0.96465,0.94827,0.97402,0.78788,0.73677,0.40309,1.19028,0.000424556,0.000424556,0.000424556
73,3870.35,0.7499,0.41991,1.13007,0.97917,0.97691,0.986,0.79262,0.81577,0.35118,1.26229,0.000410409,0.000410409,0.000410409
74,3914.04,0.75202,0.41388,1.11927,0.97673,0.98836,0.98439,0.80575,0.73553,0.35663,1.15897,0.000396262,0.000396262,0.000396262
75,3957.85,0.73961,0.40244,1.12396,0.9774,0.98612,0.9848,0.79305,0.78475,0.34448,1.19615,0.000382115,0.000382115,0.000382115
76,4002.39,0.74026,0.406,1.12465,0.97308,0.99383,0.98433,0.81254,0.69556,0.32378,1.11251,0.000367967,0.000367967,0.000367967
77,4047.73,0.74134,0.39587,1.12314,0.98703,0.97939,0.98451,0.82563,0.65608,0.32112,1.10474,0.00035382,0.00035382,0.00035382
78,4101.34,0.73879,0.40855,1.12013,0.97789,0.97743,0.98331,0.80584,0.71825,0.31192,1.15142,0.000339673,0.000339673,0.000339673
79,4143.47,0.73082,0.4097,1.12201,0.97401,0.9829,0.98358,0.81323,0.69997,0.31564,1.14241,0.000325526,0.000325526,0.000325526
80,4186.39,0.74509,0.40951,1.1253,0.98414,0.98742,0.9865,0.82291,0.68225,0.31295,1.12219,0.000311379,0.000311379,0.000311379
81,4229.44,0.7029,0.38035,1.10174,0.97437,0.99161,0.98764,0.81266,0.71869,0.31464,1.14654,0.000297232,0.000297232,0.000297232
82,4274.57,0.73175,0.397,1.1084,0.98469,0.97723,0.98419,0.81495,0.70452,0.31886,1.14041,0.000283085,0.000283085,0.000283085
83,4318.31,0.71163,0.38834,1.10176,0.97788,0.98765,0.98564,0.80789,0.74228,0.32279,1.1581,0.000268938,0.000268938,0.000268938
